[SKIP] Library/reference/facts/cleaned_chapters/book_0001 -> /root/private_data/LiteraryGiant/Library/reference/facts/chapter_features/book_0001 (index=0001)
[SKIP] Library/reference/facts/cleaned_chapters/book_0002 -> /root/private_data/LiteraryGiant/Library/reference/facts/chapter_features/book_0002 (index=0002)
[CHAPTER-SKIP] 0003 145/4226 -> chapter_0145.json (state)
[CHAPTER-SKIP] 0003 146/4226 -> chapter_0146.json (state)
[CHAPTER-SKIP] 0003 147/4226 -> chapter_0147.json (state)
[CHAPTER-SKIP] 0003 148/4226 -> chapter_0148.json (state)
[CHAPTER-SKIP] 0003 149/4226 -> chapter_0149.json (state)
[CHAPTER-SKIP] 0003 150/4226 -> chapter_0150.json (state)
[CHAPTER-SKIP] 0003 151/4226 -> chapter_0151.json (state)
[CHAPTER-SKIP] 0003 152/4226 -> chapter_0152.json (state)
[CHAPTER-SKIP] 0003 153/4226 -> chapter_0153.json (state)
[CHAPTER-SKIP] 0003 154/4226 -> chapter_0154.json (state)
[CHAPTER-SKIP] 0003 155/4226 -> chapter_0155.json (state)
[CHAPTER-SKIP] 0003 156/4226 -> chapter_0156.json (state)
[CHAPTER-SKIP] 0003 157/4226 -> chapter_0157.json (state)
[CHAPTER-SKIP] 0003 158/4226 -> chapter_0158.json (state)
[CHAPTER-SKIP] 0003 159/4226 -> chapter_0159.json (state)
[CHAPTER-SKIP] 0003 160/4226 -> chapter_0160.json (state)
[CHAPTER-SKIP] 0003 161/4226 -> chapter_0161.json (state)
[CHAPTER-SKIP] 0003 162/4226 -> chapter_0162.json (state)
[CHAPTER-SKIP] 0003 163/4226 -> chapter_0163.json (state)
[CHAPTER-SKIP] 0003 164/4226 -> chapter_0164.json (state)
[CHAPTER-SKIP] 0003 165/4226 -> chapter_0165.json (state)
[CHAPTER-SKIP] 0003 166/4226 -> chapter_0166.json (state)
[CHAPTER-SKIP] 0003 167/4226 -> chapter_0167.json (state)
[CHAPTER-SKIP] 0003 168/4226 -> chapter_0168.json (state)
[CHAPTER-SKIP] 0003 169/4226 -> chapter_0169.json (state)
[CHAPTER-SKIP] 0003 170/4226 -> chapter_0170.json (state)
[CHAPTER-SKIP] 0003 171/4226 -> chapter_0171.json (state)
[CHAPTER-SKIP] 0003 172/4226 -> chapter_0172.json (state)
[CHAPTER-SKIP] 0003 173/4226 -> chapter_0173.json (state)
[CHAPTER-SKIP] 0003 174/4226 -> chapter_0174.json (state)
[CHAPTER-SKIP] 0003 175/4226 -> chapter_0175.json (state)
[CHAPTER-SKIP] 0003 176/4226 -> chapter_0176.json (state)
[CHAPTER-SKIP] 0003 177/4226 -> chapter_0177.json (state)
[CHAPTER-SKIP] 0003 178/4226 -> chapter_0178.json (state)
[CHAPTER-SKIP] 0003 179/4226 -> chapter_0179.json (state)
